OrderDate,OrderNumber,IDProduct,IDLocation,OrderLineItem,OrderQuantity,PaymentMethod,IDCustomer
2024-06-07,O034377,149,6,1,1,Apple Pay,C09935
2024-06-07,O034377,198,6,2,1,Apple Pay,C09935
2024-06-13,O034703,233,2,1,2,Credit Card,C05663
2024-06-13,O034703,56,2,2,2,Credit Card,C05663
2024-02-25,O029223,28,9,1,1,Credit Card,C16655
2024-03-03,O029557,12,5,1,2,PayPal,C01701
2024-10-09,O040773,172,2,1,1,Credit Card,C07729
2024-10-09,O040773,78,2,2,1,Credit Card,C07729
2024-12-27,O044693,204,4,1,1,Credit Card,C11905
2024-04-12,O031526,276,3,1,1,Credit Card,C02287
2024-05-08,O032870,180,3,1,1,PayPal,C12860
2024-03-17,O030272,129,4,1,1,PayPal,C12807
2024-03-17,O030272,50,4,2,1,PayPal,C12807
2024-10-13,O040987,214,2,1,1,Credit Card,C08496
2024-06-28,O035479,67,2,1,1,PayPal,C06427
2024-06-28,O035479,242,2,2,2,PayPal,C06427
2024-02-08,O028284,233,3,1,2,Google Pay,C16478
2024-02-08,O028284,202,3,2,1,Google Pay,C16478
2024-12-02,O043538,118,5,1,1,PayPal,C04322
2024-05-16,O033267,46,4,1,1,Apple Pay,C15598
2024-08-20,O038189,161,2,1,1,PayPal,C08572
2024-11-06,O042202,144,3,1,1,PayPal,C13328
2024-09-25,O040016,246,4,1,1,PayPal,C15076
2024-06-29,O035534,215,2,1,1,Credit Card,C14173
2024-12-31,O044903,120,7,1,2,PayPal,C09874
2024-12-31,O044903,137,7,2,1,PayPal,C09874
2024-04-25,O032220,112,8,1,2,Credit Card,C05069
2024-07-18,O036478,2,2,1,1,Credit Card,C04976
2024-06-16,O034866,233,2,1,1,Credit Card,C08140
2024-06-16,O034866,67,2,2,1,Credit Card,C08140
2024-12-28,O044755,263,4,1,1,Credit Card,C10794
2024-12-28,O044755,196,4,2,1,Credit Card,C10794
2024-05-02,O032546,62,4,1,1,Credit Card,C14726
2024-05-02,O032546,225,4,2,2,Credit Card,C14726
2024-01-18,O027219,67,4,1,1,Credit Card,C12614
2024-01-18,O027219,104,4,2,1,Credit Card,C12614
2024-07-02,O035671,257,6,1,1,Credit Card,C11051
2024-10-31,O041876,209,4,1,1,Credit Card,C07167
2024-03-27,O030786,21,2,1,2,Google Pay,C13357
2024-10-11,O040872,15,9,1,1,Credit Card,C11782
2024-11-12,O042530,262,6,1,2,Credit Card,C14946
2024-11-12,O042530,21,6,2,2,Credit Card,C14946
2024-02-06,O028182,213,4,1,1,PayPal,C13218
2024-02-06,O028182,80,4,2,1,PayPal,C13218
2024-03-13,O030074,270,7,1,2,Credit Card,C01372
2024-03-13,O030074,125,7,2,1,Credit Card,C01372
2024-04-02,O031024,213,4,1,1,Credit Card,C05846
2024-04-02,O031024,55,4,2,1,Credit Card,C05846
2024-04-23,O032105,246,4,1,1,Apple Pay,C11466
2024-06-18,O034962,171,10,1,2,Credit Card,C14597
2024-08-01,O037196,228,3,1,1,Credit Card,C02045
2024-08-10,O037632,265,5,1,1,Apple Pay,C13387
2024-08-10,O037632,229,5,2,1,Apple Pay,C13387
2024-11-17,O042775,270,9,1,2,Credit Card,C08248
2024-11-17,O042775,227,9,2,1,Credit Card,C08248
2024-11-12,O042531,133,9,1,1,Apple Pay,C08574
2024-05-21,O033491,227,6,1,1,Credit Card,C15205
2024-02-21,O028985,268,10,1,2,Credit Card,C02260
2024-02-21,O028985,165,10,2,1,Credit Card,C02260
2024-10-19,O041255,157,8,1,1,Google Pay,C17591
2024-09-16,O039573,68,5,1,2,Credit Card,C05075
2024-01-05,O026574,135,6,1,2,Credit Card,C11817
2024-08-09,O037586,90,5,1,2,PayPal,C07624
2024-08-09,O037586,123,5,2,2,PayPal,C07624
2024-05-30,O033954,227,5,1,1,PayPal,C05710
2024-08-10,O037633,31,7,1,4,PayPal,C02583
2024-12-30,O044849,48,9,1,2,Credit Card,C02433
2024-12-30,O044849,161,9,2,2,Credit Card,C02433
2024-11-26,O043249,270,4,1,1,Google Pay,C03764
2024-06-23,O035226,7,4,1,1,PayPal,C14341
2024-12-05,O043697,141,9,1,1,Credit Card,C06779
2024-12-05,O043697,196,9,2,2,Credit Card,C06779
2024-09-04,O038897,50,5,1,2,Credit Card,C07441
2024-03-06,O029716,264,5,1,2,Google Pay,C11173
2024-03-06,O029716,276,5,2,2,Google Pay,C11173
2024-05-17,O033313,45,10,1,2,Credit Card,C06644
2024-05-17,O033313,246,10,2,1,Credit Card,C06644
2024-10-03,O040441,262,7,1,1,PayPal,C15402
2024-08-17,O038040,234,10,1,1,Google Pay,C07706
2024-06-03,O034163,150,6,1,2,PayPal,C00842
2024-06-03,O034163,133,6,2,1,PayPal,C00842
2024-06-07,O034378,192,5,1,1,PayPal,C14950
2024-02-04,O028066,204,4,1,1,Credit Card,C16760
2024-12-12,O044028,241,6,1,2,Apple Pay,C13100
2024-12-12,O044028,159,6,2,1,Apple Pay,C13100
2024-05-03,O032607,75,4,1,2,Apple Pay,C03457
2024-01-22,O027451,90,1,1,1,Credit Card,C17080
2024-04-15,O031703,271,4,1,2,Google Pay,C04570
2024-01-17,O027168,166,4,1,1,Credit Card,C04078
2024-01-17,O027168,209,4,2,1,Credit Card,C04078
2024-09-10,O039238,95,3,1,2,Credit Card,C00369
2024-05-11,O033008,274,5,1,2,PayPal,C02395
2024-04-08,O031309,96,6,1,1,Credit Card,C14232
2024-04-08,O031309,264,6,2,2,Credit Card,C14232
2024-09-06,O039003,43,7,1,1,Credit Card,C05904
2024-09-06,O039003,112,7,2,2,Credit Card,C05904
2024-04-05,O031147,170,4,1,1,Credit Card,C08163
2024-02-20,O028943,169,6,1,2,Credit Card,C16935
2024-09-18,O039678,131,4,1,1,Apple Pay,C12077
2024-09-18,O039678,63,4,2,1,Apple Pay,C12077
2024-09-18,O039678,72,4,3,1,Apple Pay,C12077
2024-09-04,O038898,105,3,1,1,Credit Card,C01652
2024-09-04,O038898,227,3,2,1,Credit Card,C01652
2024-05-26,O033736,44,4,1,2,Credit Card,C04734
2024-05-26,O033736,83,4,2,1,Credit Card,C04734
2024-08-03,O037296,273,4,1,1,Apple Pay,C12989
2024-07-24,O036783,275,3,1,1,Apple Pay,C14579
2024-07-24,O036783,71,3,2,2,Apple Pay,C14579
2024-09-30,O040284,161,5,1,2,Credit Card,C01637
2024-09-30,O040284,241,5,2,2,Credit Card,C01637
2024-06-30,O035579,111,4,1,1,Apple Pay,C05988
2024-06-30,O035579,74,4,2,1,Apple Pay,C05988
2024-05-10,O032960,112,9,1,1,Credit Card,C09415
2024-05-10,O032960,200,9,2,1,Credit Card,C09415
2024-09-05,O038954,213,4,1,1,Credit Card,C08495
2024-04-13,O031589,167,3,1,1,PayPal,C16210
2024-04-13,O031589,227,3,2,1,PayPal,C16210
2024-02-23,O029113,209,2,1,2,Credit Card,C03725
2024-04-18,O031858,49,4,1,1,Credit Card,C09012
2024-09-10,O039239,199,4,1,1,Credit Card,C07108
2024-05-08,O032871,272,7,1,2,Apple Pay,C15238
2024-05-08,O032871,205,7,2,1,Apple Pay,C15238
2024-12-16,O044207,225,6,1,1,Credit Card,C03699
2024-12-16,O044207,195,6,2,1,Credit Card,C03699
2024-06-06,O034320,247,5,1,1,PayPal,C07137
2024-12-04,O043643,257,8,1,1,Apple Pay,C14240
2024-12-30,O044850,122,4,1,2,PayPal,C17938
2024-02-09,O028343,201,6,1,2,PayPal,C02927
